term,cur,prev,diff,total,ma7,z_like
삼성전자,29,12,17,630,28.286,0.113
tv,26,13,13,462,17.286,1.69
oled,23,56,-33,402,13.143,2.131
디스플레이,13,14,-1,260,6.0,2.029
삼성디스플레이,11,9,2,108,3.143,2.834
xr,8,5,3,134,4.0,1.333
애플,8,12,-4,261,8.857,-0.216
노트북,7,4,3,156,5.571,0.425
lg전자,7,5,2,249,6.571,0.12
tsmc,4,1,3,24,0.857,1.632
amd,4,2,2,16,1.143,1.381
엔비디아,4,1,3,90,1.571,1.078
ar,3,0,3,35,0.571,1.383
폴더블,3,0,3,149,0.857,1.113
모바일,3,0,3,36,0.857,1.113
스마트폰,3,1,2,112,1.714,0.557
모니터,2,0,2,83,2.0,0.0
lg디스플레이,2,17,-15,136,3.143,-0.412
벤츠,1,0,1,52,0.143,0.622
카카오,1,0,1,11,0.143,0.622
sharp,1,0,1,5,0.143,0.622
뷰소닉,1,0,1,2,0.143,0.622
화웨이,1,0,1,31,0.286,0.465
4k,1,0,1,16,0.286,0.465
asus,1,0,1,14,0.429,0.345
고성능,1,0,1,13,0.429,0.345
byd,1,0,1,12,0.429,0.345
bmw,1,0,1,7,0.429,0.345
공급망,1,1,0,47,0.714,0.155
sk하이닉스,1,3,-2,80,1.0,0.0
hp,1,1,0,68,1.143,-0.069
태블릿,1,0,1,20,1.143,-0.069
아이폰,1,2,-1,106,1.286,-0.134
인텔,1,7,-6,45,1.286,-0.134
레노버,1,0,1,37,1.571,-0.254
갤럭시,1,2,-1,75,2.571,-0.604
