term,cur,diff,z_like
레노버,22,19,5.66
디스플레이,26,18,4.37
벤츠,11,11,4.18
amd,10,10,3.90
tcl,9,7,3.15
삼성디스플레이,10,9,2.07
벤큐,4,4,1.95
tv,9,5,1.67
