term,cur,prev,diff,total,ma7,z_like
lg디스플레이,17,3,14,124,4.714,3.874
amd,7,0,7,17,1.286,2.678
hp,10,3,7,48,4.0,2.0
소니,4,1,3,11,0.857,1.632
모니터,6,2,4,104,2.286,1.479
고성능,3,0,3,29,0.714,1.239
woled,2,0,2,5,0.429,0.95
카카오,2,0,2,12,0.429,0.95
갤럭시,8,3,5,93,5.429,0.772
tcl,2,2,0,8,0.714,0.697
고휘도,1,0,1,1,0.143,0.622
샤프,1,0,1,1,0.143,0.622
스트레처블,1,0,1,1,0.143,0.622
아이맥,1,0,1,1,0.143,0.622
비전프로,1,0,1,3,0.143,0.622
메타,1,0,1,30,0.143,0.622
샤오미,1,0,1,11,0.286,0.465
폴더블,4,3,1,106,3.0,0.366
마이크로소프트,1,1,0,11,0.429,0.345
맥북,1,1,0,17,0.429,0.345
공급망,1,0,1,21,0.429,0.345
아이패드,1,0,1,26,0.429,0.345
현대모비스,4,0,4,68,3.286,0.254
boe,5,1,4,69,5.143,-0.044
인텔,1,0,1,50,1.143,-0.069
구글,2,1,1,73,2.286,-0.114
스마트폰,5,2,3,111,5.429,-0.129
sk하이닉스,1,1,0,53,1.714,-0.309
xr,2,2,0,101,3.714,-0.586
