term,cur,prev,diff,ma7,z_like,total
공급망,6,0,6,1.714,1.856,41
lg전자,22,8,14,13.857,1.724,318
도우인시스,3,0,3,0.429,1.554,5
lcd,3,0,3,0.714,1.239,33
lg디스플레이,3,1,2,1.0,1.0,66
dell,3,4,-1,1.143,0.898,13
삼성전자,33,49,-16,27.714,0.844,517
고효율,2,2,0,0.714,0.697,7
백플레인,1,0,1,0.143,0.622,1
생산능력,1,0,1,0.143,0.622,5
스마트워치,1,0,1,0.143,0.622,6
ar,3,3,0,1.714,0.557,61
양산,3,3,0,1.714,0.557,62
메타,2,2,0,1.0,0.5,23
비보,1,0,1,0.286,0.465,3
vr,1,0,1,0.429,0.345,18
맥북,1,1,0,0.429,0.345,16
엔비디아,9,7,2,7.714,0.34,178
갤럭시,8,7,1,7.0,0.274,145
현대모비스,1,2,-1,0.571,0.244,5
oled,9,5,4,8.429,0.146,319
샤오미,2,1,1,1.714,0.124,31
sk하이닉스,3,3,0,2.714,0.108,71
아이폰,5,1,4,4.714,0.09,121
tv,8,23,-15,7.714,0.076,229
폴더블,7,3,4,6.857,0.039,241
구글,2,2,0,2.0,0.0,93
byd,1,0,1,1.143,-0.069,14
boe,1,0,1,1.286,-0.134,18
스마트폰,2,0,2,2.429,-0.168,87
xr,2,1,1,2.429,-0.168,75
모바일,3,9,-6,4.0,-0.333,51
레노버,3,3,0,4.714,-0.541,79
삼성디스플레이,1,7,-6,3.286,-0.813,75
모니터,3,0,3,6.143,-0.904,159
애플,7,4,3,11.143,-0.955,340
디스플레이,3,11,-8,8.0,-1.306,194
노트북,1,2,-1,6.714,-1.591,112
