term,cur,prev,diff,total,ma7,z_like
삼성전자,22,60,-38,354,27.857,-0.933
oled,20,6,14,193,12.143,1.752
레노버,18,0,18,23,3.143,5.358
엔비디아,15,1,14,24,2.286,5.062
퀄컴,8,0,8,24,1.429,2.994
tv,5,11,-6,83,6.857,-0.513
xr,5,8,-3,86,8.0,-0.784
고성능,4,0,4,27,2.571,0.549
갤럭시,4,4,0,60,5.0,-0.309
디스플레이,4,14,-10,116,6.571,-0.722
lg전자,4,17,-13,123,7.571,-0.952
공급망,3,0,3,16,0.571,1.383
lg디스플레이,3,0,3,75,2.0,0.414
노트북,3,5,-2,24,2.571,0.165
애플,3,11,-8,176,11.571,-1.947
etri,2,0,2,3,0.286,1.117
한화솔루션,2,2,0,5,0.571,0.814
모바일,2,1,1,13,0.714,0.697
현대차,2,0,2,31,1.0,0.5
태블릿,2,2,0,22,2.143,-0.058
해상도,1,0,1,5,0.143,0.622
픽셀,1,0,1,3,0.143,0.622
8k,1,0,1,1,0.143,0.622
sfa,1,0,1,1,0.143,0.622
설비투자,1,0,1,1,0.143,0.622
화웨이,1,1,0,7,0.286,0.465
byd,1,1,0,9,0.714,0.155
삼성디스플레이,1,2,-1,29,0.857,0.074
스마트폰,1,2,-1,46,1.0,0.0
hp,1,2,-1,8,1.143,-0.069
구글,1,4,-3,28,2.0,-0.414
sk하이닉스,1,2,-1,42,2.286,-0.512
amd,1,0,1,25,2.714,-0.648
아이패드,1,0,1,32,3.429,-0.852
폴더블,1,0,1,58,4.143,-1.035
모니터,1,4,-3,50,4.571,-1.138
