term,cur,prev,diff,total,ma7,z_like
레노버,10,0,10,49,1.857,3.446
삼성디스플레이,16,1,15,84,5.571,3.103
퀄컴,7,0,7,34,1.857,2.177
nvidia,3,0,3,4,0.429,1.554
hp,4,0,4,42,1.286,1.272
슬라이더블,2,0,2,2,0.286,1.117
알파벳,3,0,3,10,0.857,1.113
z폴드,2,0,2,4,0.429,0.95
갤럭시워치,2,0,2,4,0.429,0.95
맥북,2,0,2,34,0.429,0.95
ar,4,2,2,45,1.857,0.907
메타,2,1,1,32,0.714,0.697
ltps,1,0,1,1,0.143,0.622
아이맥,1,0,1,1,0.143,0.622
ltpo,1,0,1,2,0.143,0.622
애플워치,1,0,1,2,0.143,0.622
화웨이,1,0,1,4,0.143,0.622
asus,1,0,1,15,0.143,0.622
수율,1,0,1,3,0.286,0.465
소니,1,1,0,6,0.286,0.465
모바일,2,1,1,50,1.286,0.335
아이폰,2,1,1,86,1.286,0.335
샤오펑,1,1,0,4,0.571,0.244
lcd,1,0,1,14,0.571,0.244
모니터,3,1,2,102,2.571,0.165
amd,1,1,0,13,0.714,0.155
tcl,1,0,1,29,1.0,0.0
공급망,1,1,0,48,1.143,-0.069
엔비디아,4,1,3,94,4.429,-0.138
애플,7,3,4,334,8.571,-0.4
스마트폰,2,2,0,105,3.429,-0.501
노트북,2,1,1,113,4.286,-0.744
