term,cur,prev,diff,total,ma7,z_like
요가,6,0,6,6,0.857,2.67
한미반도체,3,0,3,25,0.429,1.554
레노버,5,1,4,20,2.0,1.243
etri,2,0,2,2,0.286,1.117
픽셀,2,0,2,3,0.286,1.117
스마트폰,6,3,3,71,3.0,1.098
galaxy,2,1,1,4,0.429,0.95
구글,5,0,5,58,2.714,0.863
폴더블,2,0,2,49,0.714,0.697
lg화학,1,0,1,1,0.143,0.622
ltps,1,0,1,1,0.143,0.622
proart,1,0,1,1,0.143,0.622
잉크젯,1,0,1,1,0.143,0.622
bmw,1,0,1,5,0.143,0.622
카카오,1,0,1,42,0.143,0.622
올레드,1,1,0,6,0.286,0.465
lcd,2,1,1,62,1.143,0.414
필립스,1,0,1,3,0.429,0.345
asus,1,1,0,11,0.429,0.345
고성능,1,0,1,23,0.571,0.244
삼성디스플레이,2,1,1,49,1.571,0.19
벤츠,2,0,2,52,1.571,0.19
아이폰,2,1,1,58,1.571,0.19
tcl,2,0,2,70,1.571,0.19
퀄컴,1,1,0,13,0.714,0.155
메타,1,0,1,20,0.714,0.155
sk하이닉스,1,0,1,54,1.714,-0.309
