term,cur,prev,diff,ma7,z_like,total
요가,11,0,11,1.571,4.184,11
선익시스템,7,0,7,1.0,3.0,13
원익ips,5,0,5,0.714,2.323,7
메타,6,1,5,1.571,1.965,30
고성능,4,1,3,1.143,1.381,28
증착,2,0,2,0.429,0.95,4
한미반도체,2,0,2,0.429,0.95,4
tcl,5,0,5,1.714,1.423,32
맥북,4,0,4,1.143,1.381,21
ltpo,2,0,2,0.286,1.117,6
두산로보틱스,2,0,2,0.429,0.95,4
벤큐,2,0,2,0.286,1.117,10
tsmc,2,0,2,0.286,1.117,15
소니,2,0,2,0.429,0.95,18
프로아트,10,0,10,1.429,3.905,12
태블릿,8,0,8,1.286,3.146,17
아이폰,6,0,6,2.143,1.565,39
proart,2,0,2,0.286,1.117,4
lcd,2,0,2,0.429,0.95,11
게이밍모니터,4,0,4,0.571,1.953,11
선익시스템,6,3,3,2.286,1.479,22
ar,3,0,3,0.571,1.383,24
모바일,5,0,5,0.857,2.151,35
