term,cur,prev,diff,ma7,z_like,total,date
tv,36,2,34,10.714,5.917,281,2026-06-05
삼성전자,36,10,26,13.571,4.788,597,2026-06-05
요가,11,0,11,1.571,4.184,11,2026-06-05
레노버,12,0,12,3.286,3.098,61,2026-06-05
선익시스템,7,0,7,1.0,3.0,13,2026-06-05
원익ips,5,0,5,0.714,2.323,7,2026-06-05
oled,25,8,17,14.714,2.127,329,2026-06-05
메타,6,1,5,1.571,1.965,30,2026-06-05
노트북,11,3,8,5.143,1.792,122,2026-06-05
모니터,10,1,9,4.857,1.605,180,2026-06-05
고성능,4,1,3,1.143,1.381,28,2026-06-05
애플,9,4,5,4.857,1.293,163,2026-06-05
구글,3,0,3,0.857,1.113,116,2026-06-05
증착,2,0,2,0.429,0.95,4,2026-06-05
한미반도체,2,0,2,0.429,0.95,4,2026-06-05
xr,7,12,-5,4.286,0.884,104,2026-06-05
디스플레이,9,2,7,6.571,0.682,190,2026-06-05
lcd,1,0,1,0.143,0.622,12,2026-06-05
yoga,1,0,1,0.143,0.622,1,2026-06-05
갤럭시북,1,0,1,0.143,0.622,1,2026-06-05
설비투자,1,0,1,0.143,0.622,5,2026-06-05
저전력,1,0,1,0.143,0.622,5,2026-06-05
갤럭시,3,2,1,1.714,0.557,58,2026-06-05
asus,2,1,1,1.0,0.5,13,2026-06-05
수율,1,0,1,0.286,0.465,12,2026-06-05
스마트워치,1,0,1,0.286,0.465,5,2026-06-05
알파벳,1,0,1,0.286,0.465,5,2026-06-05
공급망,3,0,3,2.143,0.348,56,2026-06-05
byd,1,0,1,0.429,0.345,8,2026-06-05
마이크로소프트,1,0,1,0.429,0.345,6,2026-06-05
도우인시스,1,1,0,0.429,0.345,3,2026-06-05
아이폰,2,2,0,1.571,0.19,39,2026-06-05
딥엑스,1,0,1,0.714,0.155,9,2026-06-05
올레드,1,0,1,0.714,0.155,45,2026-06-05
화웨이,1,1,0,0.857,0.074,16,2026-06-05
스마트폰,2,0,2,1.857,0.06,95,2026-06-05
lg디스플레이,2,0,2,2.0,0.0,70,2026-06-05
amd,2,0,2,2.143,-0.058,34,2026-06-05
sk하이닉스,1,3,-2,1.714,-0.309,47,2026-06-05
폴더블,1,2,-1,1.857,-0.363,64,2026-06-05
삼성디스플레이,1,2,-1,2.714,-0.648,67,2026-06-05
양산,1,2,-1,2.714,-0.648,45,2026-06-05
lg전자,9,15,-6,12.143,-0.701,290,2026-06-05
인텔,2,5,-3,4.429,-0.782,64,2026-06-05
퀄컴,1,3,-2,4.0,-1.0,44,2026-06-05
엔비디아,4,11,-7,17.143,-2.557,212,2026-06-05
tcl,5,0,5,1.714,1.423,32,2026-06-06
맥북,4,0,4,1.143,1.381,21,2026-06-06
ltpo,2,0,2,0.286,1.117,6,2026-06-06
두산로보틱스,2,0,2,0.429,0.95,4,2026-06-06
sharp,2,0,2,0.571,0.814,11,2026-06-06
galaxy,1,0,1,0.143,0.622,2,2026-06-06
아마존,1,0,1,0.143,0.622,7,2026-06-06
원익ips,2,5,-3,1.0,0.5,9,2026-06-06
애플,7,9,-2,5.429,0.472,162,2026-06-06
lg디스플레이,3,2,1,2.286,0.284,71,2026-06-06
tv,12,36,-24,10.857,0.266,267,2026-06-06
