org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
-OLED,0,3,4,6,6,4,2,4,4,0,5,2,4,4
0.03ms,3,0,3,2,7,3,3,4,4,1,5,0,5,5
000m2,4,3,2,4,1,5,3,3,5,2,5,3,6,3
0으로,0,0,0,1,0,0,5,0,1,0,0,8,0,0
1.5게임으로,1,1,1,2,2,2,3,2,4,2,2,10,3,1
1001배,5,7,3,1,2,7,2,4,2,5,3,0,4,4
100배줌,1,4,1,6,2,3,1,2,2,6,1,0,2,3
101m2형,0,1,2,3,1,5,3,1,2,0,1,0,1,1
1060원에,0,1,1,3,0,3,2,6,1,0,0,0,1,0
1079가구,0,1,2,3,1,5,3,1,2,0,1,0,1,1
10년간,1,3,5,3,3,4,2,5,4,1,4,1,6,3
10단계,2,3,3,2,0,5,3,3,4,2,2,3,3,3
10회말,1,1,1,2,2,2,3,2,4,2,2,10,3,1
122억,1,2,1,4,0,2,1,5,3,0,1,1,2,3
12시,0,0,0,0,0,0,1,0,1,0,0,1,1,0
13개,1,1,1,4,0,1,1,1,2,1,1,0,1,2
1541억원,1,6,4,4,2,3,3,1,5,1,4,2,2,5
154m2형,0,1,2,3,1,5,3,1,2,0,1,0,1,1
160타점,0,0,0,1,0,2,5,0,0,0,0,8,0,0
190억원을,1,2,2,3,2,2,2,4,2,3,7,1,5,5
1개월,1,6,4,4,2,3,3,1,5,1,4,2,2,5
1년만에,1,6,4,4,2,3,3,1,5,1,4,2,2,5
1로,0,1,2,3,1,5,3,1,2,0,1,0,1,1
1분기부터,2,1,8,3,2,5,0,5,1,2,4,0,7,5
1순위,0,1,2,3,1,5,3,1,2,0,1,0,1,1
1이닝,1,0,0,1,0,4,4,0,2,0,0,10,1,0
1점,1,3,1,0,1,0,0,2,1,0,0,0,2,1
1회,0,0,0,1,0,2,5,0,0,0,0,8,0,0
200만,4,4,1,5,4,6,2,5,4,2,5,1,5,2
2030년에는,1,6,2,5,1,2,1,3,2,3,6,0,6,5
2560x1440,3,0,3,2,7,3,3,4,4,1,5,0,5,5
2o,0,0,0,0,1,1,0,1,2,0,2,2,2,0
2경기를,0,0,1,1,0,3,6,1,1,0,0,9,1,0
2대,1,2,4,2,0,4,2,2,3,1,4,0,3,6
2루수,1,1,1,2,2,2,3,2,4,2,2,10,3,1
2세,0,1,1,3,0,3,2,6,1,0,0,0,1,0
2순위,0,1,2,3,1,5,3,1,2,0,1,0,1,1
2차전지,4,8,7,11,7,8,6,8,12,5,14,1,12,17
2피안타,0,0,0,0,0,1,3,0,2,1,1,9,0,1
300은,2,2,1,1,0,0,0,1,1,1,3,0,5,1
30대,1,0,1,5,1,1,2,3,1,5,1,0,3,1
3D,8,4,1,3,4,3,1,5,5,5,3,1,4,2
3a,0,0,0,0,0,0,0,0,2,0,0,2,0,0
3a1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3무,1,0,0,0,0,1,1,0,1,1,0,10,0,0
3분기에,1,6,4,7,4,2,2,6,5,3,5,2,6,5
3사,6,8,5,7,8,6,5,7,8,6,7,3,8,8
3시간,6,8,5,7,8,6,5,7,8,6,7,3,8,8
3열,7,4,3,3,5,3,1,5,4,4,7,4,5,6
3이닝,0,0,0,0,0,1,3,0,2,1,1,9,0,1
40대,1,0,1,5,1,1,2,3,1,5,1,0,3,1
455QA,2,2,3,2,4,5,2,5,1,2,4,0,8,5
455QA는,3,2,3,2,4,2,1,3,1,3,5,0,8,4
4K,5,1,1,2,7,6,1,4,3,2,5,1,7,2
4o,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4번,0,0,0,1,0,2,5,0,0,0,0,8,0,0
4회,1,0,0,0,0,1,1,0,1,1,0,10,0,0
5-0으로,0,0,0,2,0,5,10,0,0,0,0,14,0,0
500니트,0,0,0,2,2,1,0,1,0,0,1,0,1,1
50홈런,0,0,0,1,0,2,5,0,0,0,0,8,0,0
50홈런-150타점,0,0,0,1,0,3,5,0,0,0,0,6,0,0
53개,1,0,0,1,0,4,4,0,2,0,0,10,1,0
5는,7,4,3,3,5,3,1,5,4,4,7,4,5,6
5대,0,0,0,1,0,0,5,0,1,0,0,8,0,0
647억,1,2,1,4,0,2,1,5,3,0,1,1,2,3
65조,1,6,4,4,2,3,3,1,5,1,4,2,2,5
6개월,0,1,1,3,0,3,2,6,1,0,0,0,1,0
6무,1,0,0,1,0,4,4,0,2,0,0,10,1,0
8.6G,1,2,1,5,4,4,1,4,3,1,7,0,7,6
8.6세대,3,10,2,15,13,9,3,14,7,1,19,2,16,17
84m2형,0,1,2,3,1,5,3,1,2,0,1,0,1,1
8세대급,2,6,0,10,10,6,3,9,3,3,15,0,10,13
90도로,0,0,0,1,0,3,5,0,0,0,0,6,0,0
936가구,0,1,2,3,1,5,3,1,2,0,1,0,1,1
9개,1,2,3,3,2,2,3,3,7,2,6,4,5,5
9회,1,0,0,0,0,1,1,0,1,1,0,10,0,0
9회초,0,0,0,1,0,0,5,0,1,0,0,8,0,0
AI생태계,2,6,2,0,1,2,2,3,4,5,2,1,4,6
AI와,2,3,3,2,0,5,3,3,4,2,2,3,3,3
AMD,7,12,7,10,6,11,14,10,14,9,16,0,15,17
AOI,1,3,3,5,2,5,2,3,5,1,5,1,5,7
APEC,8,28,8,37,13,18,22,17,26,59,13,2,31,32
AP시스템,4,9,0,15,14,9,4,13,5,3,22,0,16,19
AP시스템은,3,5,1,10,8,7,2,8,5,1,14,0,13,12
AP시스템의,1,3,0,5,5,3,1,5,1,1,7,0,5,6
AP시스템이,1,3,0,5,5,3,2,4,2,2,8,0,5,7
ASUS,3,0,3,2,7,3,3,4,4,1,5,0,5,5
AX,8,16,12,17,14,10,10,16,20,11,18,9,19,18
Alt,5,1,1,2,6,5,1,3,3,2,3,1,5,2
America,1,3,1,4,0,3,2,3,5,1,5,0,5,4
Aura,3,0,3,2,7,3,3,4,4,1,5,0,5,5
A주,3,5,2,3,3,4,0,6,3,0,5,1,5,3
A타입,0,1,2,3,1,5,3,1,2,0,1,0,1,1
B12,0,2,1,5,5,4,1,3,2,1,6,0,5,5
B2B,5,5,5,7,3,7,6,6,12,4,11,7,11,8
BK21,2,3,0,1,0,2,5,2,3,1,3,1,0,3
BMW,4,2,16,6,4,10,0,10,2,4,8,0,14,10
BNB,5,7,3,1,2,7,2,4,2,5,3,0,4,4
BOE,0,10,4,14,11,10,4,12,10,2,18,2,15,16
BOE가,0,3,4,6,6,4,2,4,4,0,5,2,4,4
BOE는,0,4,1,4,2,3,2,4,4,1,7,0,5,6
BOE의,0,7,5,10,8,7,4,8,8,1,12,2,9,10
BYD,2,7,3,4,1,4,2,3,2,1,3,3,5,6
BenQ,5,1,1,2,6,5,1,3,3,2,3,1,5,2
CEO,9,16,10,10,11,10,10,13,19,13,15,8,17,19
CJ그룹은,7,4,3,3,5,3,1,5,4,4,7,4,5,6
CLENOX는,1,1,0,1,0,0,0,1,0,2,3,0,5,0
CPO가,1,1,1,0,1,1,0,0,0,1,1,0,0,0
CPU,2,1,1,1,0,3,3,0,1,3,2,0,2,1
CSOT,1,6,3,10,8,7,2,9,7,1,12,2,12,11
CTO,1,2,3,3,2,2,3,3,7,2,6,4,5,5
Center,1,3,1,4,0,3,2,3,5,1,5,0,5,4
Chemical,0,1,2,0,2,4,3,0,3,2,4,0,2,5
CoWoS,2,6,2,3,0,4,7,4,6,2,3,0,4,6
Copyright,5,6,5,5,3,3,1,7,7,5,6,1,6,6
Cs+,0,1,2,0,2,4,3,0,3,2,4,0,2,5
DB그룹,8,4,1,3,4,3,1,5,5,5,3,1,4,2
DCI-P3,5,1,1,2,6,5,1,3,3,2,3,1,5,2
DDIC,2,4,1,5,2,5,3,4,5,1,5,1,6,7
DEX,5,7,3,1,2,7,2,4,2,5,3,0,4,4
DEX의,5,7,3,1,2,7,2,4,2,5,3,0,4,4
DIVE,12,8,2,8,8,9,3,10,9,7,8,2,9,4
DP,5,1,1,2,6,5,1,3,3,2,3,1,5,2
DS,3,6,3,6,3,4,3,4,5,3,6,1,5,8
DX,3,6,3,6,3,4,3,4,5,3,6,1,5,8
E-ONG,3,5,2,3,3,4,0,6,3,0,5,1,5,3
E-ONG의,3,5,2,3,3,4,0,6,3,0,5,1,5,3
