term,cur,prev,diff,total,ma7,z_like
삼성디스플레이,20,2,18,61,3.571,5.685
선익시스템,7,0,7,23,1.286,2.678
sharp,4,0,4,21,1.0,1.5
tcl,4,0,4,32,1.0,1.5
asus,2,0,2,16,0.286,1.117
tv,8,2,6,242,4.714,1.036
dell,2,2,0,6,0.714,0.697
텐센트,1,0,1,1,0.143,0.622
샤프,1,0,1,2,0.143,0.622
딥엑스,1,0,1,3,0.143,0.622
원익ips,1,0,1,3,0.143,0.622
벤큐,1,0,1,7,0.143,0.622
비보,1,0,1,7,0.143,0.622
양산,2,1,1,39,1.0,0.5
소니,1,0,1,4,0.286,0.465
4k,1,0,1,14,0.286,0.465
byd,1,0,1,15,0.429,0.345
bmw,1,0,1,17,0.429,0.345
퀄컴,1,0,1,28,0.571,0.244
모바일,1,0,1,29,0.714,0.155
인텔,1,0,1,29,0.714,0.155
hp,1,1,0,30,0.857,0.074
구글,1,1,0,38,0.857,0.074
메타,1,1,0,29,1.0,0.0
레노버,1,1,0,49,1.0,0.0
아이폰,3,3,0,88,3.286,-0.102
