term,cur,prev,diff,total,ma7,z_like
애플,6,6,0,176,5.0,0.309
스마트폰,4,2,2,106,2.429,0.614
tv,4,3,1,395,8.286,-1.105
sk하이닉스,3,2,1,59,1.857,0.484
삼성전자,3,12,-9,397,13.286,-2.214
엔비디아,2,4,-2,62,2.286,-0.114
lg전자,2,3,-1,305,7.857,-1.54
봉지,1,0,1,2,0.143,0.622
프로아트,1,0,1,1,0.143,0.622
도우인시스,1,1,0,4,0.286,0.465
원익ips,1,1,0,3,0.286,0.465
기아,1,0,1,69,0.429,0.345
아마존,1,1,0,10,0.429,0.345
사이니지,1,1,0,21,0.571,0.244
sharp,1,1,0,6,0.571,0.244
byd,1,0,1,12,0.857,0.074
구글,1,1,0,63,1.286,-0.134
모니터,1,2,-1,99,1.429,-0.195
boe,1,3,-2,24,1.714,-0.309
인텔,1,0,1,94,2.286,-0.512
폴더블,1,5,-4,50,2.286,-0.512
아이폰,1,2,-1,65,2.429,-0.558
노트북,1,2,-1,131,2.571,-0.604
갤럭시,1,5,-4,92,2.571,-0.604
xr,1,11,-10,65,3.714,-0.927
