term,cur,prev,diff,total,ma7,z_like
lg디스플레이,14,2,12,130,2.286,4.664
tcl,9,2,7,85,2.429,2.569
ar,9,0,9,50,2.714,2.374
소니,10,2,8,29,3.429,2.304
레노버,7,0,7,92,2.0,2.071
모니터,12,2,10,167,5.286,2.035
harman,4,0,4,4,0.571,1.953
etri,4,0,4,8,0.571,1.953
벤큐,4,0,4,13,0.571,1.953
갤럭시,7,1,6,107,2.286,1.877
엔비디아,7,3,4,177,2.286,1.877
qled,2,0,2,41,0.429,0.95
sk하이닉스,3,0,3,72,1.143,0.898
픽셀,2,1,1,5,0.571,0.814
고효율,1,0,1,2,0.143,0.622
4k,1,0,1,4,0.143,0.622
생산능력,1,0,1,17,0.143,0.622
xr,4,3,1,118,2.571,0.549
기아,1,0,1,21,0.429,0.345
노트북,4,3,1,130,3.143,0.309
아마존,1,1,0,10,0.571,0.244
asus,1,0,1,25,0.571,0.244
hp,1,0,1,29,0.571,0.244
인텔,1,0,1,38,1.0,0.0
lcd,1,0,1,36,1.429,-0.195
디스플레이,3,2,1,214,3.714,-0.244
vr,1,0,1,55,1.714,-0.309
모바일,1,1,0,72,3.857,-0.964
