term,cur,diff,z_like
lg전자,38,38,6.73
엔비디아,45,43,6.65
삼성디스플레이,19,19,5.72
lg디스플레이,23,3,4.18
저비용,9,9,3.62
아마존,13,13,3.55
애플,17,17,3.05
amd,8,6,2.72
모니터,7,7,2.29
현대차,8,8,2.18
