term,cur,prev,diff,ma7,z_like,total
공급망,3,1,2,1.429,0.716,30
인텔,2,4,-2,1.0,0.5,30
고효율,1,0,1,0.429,0.345,5
벤츠,1,0,1,0.429,0.345,25
맥북,1,0,1,0.571,0.244,19
갤럭시,2,2,0,1.571,0.19,95
boe,1,0,1,0.714,0.155,24
sk하이닉스,2,1,1,1.714,0.124,85
kaist,1,0,1,1.0,0.0,19
올레드,1,0,1,1.571,-0.254,81
xr,3,10,-7,4.143,-0.377,109
tsmc,1,1,0,2.0,-0.414,18
애플,5,4,1,7.286,-0.618,266
구글,1,8,-7,2.714,-0.648,88
노트북,2,2,0,4.0,-0.667,144
모니터,1,5,-4,3.143,-0.773,183
스마트폰,2,0,2,4.429,-0.782,119
lg전자,2,1,1,5.714,-1.096,275
디스플레이,1,14,-13,5.429,-1.33,157
폴더블,1,2,-1,5.571,-1.36,147
삼성전자,6,27,-21,20.857,-2.669,482
tv,3,8,-5,22.571,-3.403,422
