term,cur,prev,diff,ma7,z_like,total
김학래,7,0,7,1.0,3.0,7
김동영,6,0,6,0.857,2.67,6
결별,4,0,4,0.571,1.953,4
고2,3,0,3,0.429,1.554,3
김예은과,3,0,3,0.429,1.554,3
레노버,3,0,3,0.429,1.554,3
리전,3,0,3,0.429,1.554,3
통과,3,0,3,0.429,1.554,3
한독,3,0,3,0.429,1.554,3
진행,3,0,3,0.571,1.383,4
22일,2,0,2,0.286,1.117,2
개정안,2,0,2,0.286,1.117,2
결국,2,0,2,0.286,1.117,4
난장판,2,0,2,0.286,1.117,2
대금,2,0,2,0.286,1.117,2
바로잰,2,0,2,0.286,1.117,2
법사위,2,0,2,0.286,1.117,2
비에이치,2,0,2,0.286,1.117,2
사랑꾼,2,0,2,0.286,1.117,2
생활경제,2,0,2,0.286,1.117,2
서멀라이트,2,0,2,0.286,1.117,2
성료,2,0,2,0.286,1.117,3
신고가,2,0,2,0.286,1.117,2
에센셜,2,0,2,0.286,1.117,2
임미숙,2,0,2,0.286,1.117,2
정리,2,0,2,0.286,1.117,2
정부조직법,2,0,2,0.286,1.117,2
제주,2,0,2,0.286,1.117,2
조선의,2,0,2,0.286,1.117,2
추나대전,2,0,2,0.286,1.117,2
클래스,2,0,2,0.286,1.117,2
행안위,2,0,2,0.286,1.117,2
이슈,2,0,2,0.429,0.95,4
증권가,2,0,2,0.429,0.95,3
최신,2,0,2,0.429,0.95,3
판매,2,0,2,0.429,0.95,6
패널,2,0,2,0.429,0.95,4
게이밍,2,0,2,0.571,0.814,5
