term,cur,diff,z_like
인텔,32,30,7.75
lg디스플레이,30,28,6.96
양산,19,19,5.34
벤츠,12,12,4.29
oled,29,7,4.01
고성능,10,10,3.74
kaist,6,6,2.67
디스플레이,16,9,2.19
