term,cur,prev,diff,total,ma7,z_like
엔비디아,18,0,18,26,2.571,5.926
스마트폰,6,1,5,47,1.571,1.965
올레드,4,0,4,10,0.857,1.632
현대모비스,3,0,3,23,0.429,1.554
모바일,3,0,3,12,0.714,1.239
현대차,3,0,3,30,1.143,0.898
퀄컴,2,0,2,18,0.571,0.814
노트북,4,2,2,22,2.286,0.682
oled,11,3,8,165,8.429,0.659
8k,1,0,1,1,0.143,0.622
ltps,1,0,1,1,0.143,0.622
스마트워치,1,0,1,1,0.143,0.622
애플워치,1,0,1,1,0.143,0.622
하이센스,1,0,1,1,0.143,0.622
한화솔루션,1,0,1,2,0.143,0.622
레노버,2,0,2,7,0.857,0.593
벤츠,1,0,1,4,0.286,0.465
아마존,1,1,0,4,0.286,0.465
수율,1,0,1,5,0.286,0.465
화웨이,1,1,0,7,0.286,0.465
갤럭시,6,3,3,58,4.857,0.357
카카오,1,0,1,8,0.429,0.345
sharp,1,0,1,4,0.571,0.244
메타,1,1,0,11,0.571,0.244
lg디스플레이,2,0,2,70,1.714,0.124
hp,1,1,0,7,1.0,0.0
boe,1,0,1,15,1.0,0.0
고성능,1,0,1,19,1.429,-0.195
ar,1,0,1,37,1.429,-0.195
아이폰,2,0,2,46,2.714,-0.27
폴더블,3,0,3,56,4.0,-0.333
sk하이닉스,1,1,0,37,1.857,-0.363
amd,1,0,1,24,2.571,-0.604
