topic_id,topic_name,momentum_score
33,Topic #33,1.752
76,Topic #76,1.083
14,LG디스플레이 OLED 흑자,1.083
89,Topic #89,0.619
0,OLED 패널 경쟁 심화,0.515
36,Topic #36,0.515
65,Topic #65,0.359
22,Topic #22,0.307
16,Topic #16,0.074
4,삼성디스플레이 기술 유출,0.074
50,Topic #50,0.0
69,Topic #69,0.0
68,Topic #68,0.0
67,열화상 AR 센서,0.0
66,Topic #66,0.0
53,Topic #53,0.0
55,Topic #55,0.0
58,Topic #58,0.0
64,Topic #64,0.0
72,Topic #72,0.0
54,Topic #54,0.0
63,Topic #63,0.0
62,Topic #62,0.0
60,Topic #60,0.0
59,Topic #59,0.0
71,Topic #71,0.0
77,Topic #77,0.0
74,Topic #74,0.0
75,Topic #75,0.0
102,Topic #102,0.0
101,Topic #101,0.0
99,Topic #99,0.0
98,Topic #98,0.0
95,Topic #95,0.0
93,Topic #93,0.0
92,Topic #92,0.0
91,Topic #91,0.0
90,Topic #90,0.0
86,Topic #86,0.0
85,Topic #85,0.0
83,Topic #83,0.0
82,Topic #82,0.0
81,Topic #81,0.0
79,Topic #79,0.0
78,Topic #78,0.0
48,Topic #48,0.0
49,Topic #49,0.0
52,Topic #52,0.0
47,Topic #47,0.0
17,Topic #17,0.0
28,Topic #28,0.0
26,Topic #26,0.0
25,Topic #25,0.0
46,Topic #46,0.0
23,Topic #23,0.0
21,Topic #21,0.0
20,Topic #20,0.0
15,비스포크 AI 무선청소기,0.0
30,Topic #30,0.0
12,AI 콤보 가전 인기,0.0
11,반도체 3분기 실적,0.0
9,첨단산업 투자 동향,0.0
7,"폴스타, BMW 전기차 경쟁",0.0
6,게임쇼 OLED 신작,0.0
5,마이크로 RGB TV,0.0
3,토요타-삼성 사이니지,0.0
29,Topic #29,0.0
24,Topic #24,0.0
31,공공디자인 페스티벌,0.0
39,Topic #39,0.0
45,Topic #45,0.0
44,Topic #44,0.0
43,Topic #43,0.0
42,Topic #42,0.0
32,Topic #32,0.0
41,Topic #41,0.0
103,Topic #103,0.0
35,Topic #35,0.0
34,Topic #34,0.0
38,Topic #38,0.0
40,Topic #40,-0.154
70,Topic #70,-0.154
2,갤럭시 히어로 페스타,-0.309
19,Topic #19,-0.502
8,"중국 TCL, Micro RGB TV",-0.513
1,LG 이지 TV,-0.513
96,Topic #96,-0.513
88,Topic #88,-0.513
80,Topic #80,-0.648
94,Topic #94,-0.672
73,Topic #73,-0.722
97,Topic #97,-0.722
13,OLED 검사장비,-0.722
27,Topic #27,-0.722
10,반도체/디스플레이 주가,-0.722
56,Topic #56,-0.722
87,Topic #87,-0.722
57,Topic #57,-0.784
51,Topic #51,-0.784
100,Topic #100,-0.852
84,Topic #84,-0.944
18,Topic #18,-1.138
37,Topic #37,-1.947
61,Topic #61,-1.947
