org,topic_0,topic_1,topic_10,topic_100,topic_102,topic_103,topic_11,topic_12,topic_13,topic_14,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_25,topic_26,topic_27,topic_28,topic_29,topic_3,topic_30,topic_31,topic_33,topic_34,topic_36,topic_37,topic_38,topic_4,topic_40,topic_41,topic_42,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_5,topic_51,topic_52,topic_53,topic_54,topic_56,topic_57,topic_59,topic_6,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_68,topic_69,topic_7,topic_70,topic_71,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_8,topic_80,topic_81,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_9,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_98,topic_99
원익IPS,49.91 (0%),,90.77 (1%),,,,44.91 (1%),,44.94 (1%),,,,,,43.61 (1%),,,,,,64.24 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.02 (1%),,,,,,,,,,,85.11 (1%),,,,,,,,,
인텔,268.25 (1%),,169.67 (1%),,,,,,,,,,,,,,132.37 (3%),,,,145.23 (2%),,,,,,,,182.67 (1%),,,,,,,,,,,,180.28 (10%),,,,,,148.51 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.46 (2%),,,,,,,,,
카카오,108.13 (1%),,93.56 (1%),,,,,,,,,,,,67.53 (1%),,,,,,69.82 (1%),,,,,,,,,,,,,58.29 (2%),,,,,,,,,,,,,,62.14 (1%),,,,,,,,,60.17 (1%),,,,,,,,,,,,,,,,,,,,,78.78 (1%),,,,,,,,,
퀄컴,419.43 (1%),,247.52 (1%),,,,,,,,,,,418.92 (9%),,,,,,,,,,,,,,,,219.87 (3%),,,,,,,,,,,,,291.12 (8%),,,,,214.13 (2%),,,,247.83 (3%),,,,,,,,,,,,,,,273.71 (2%),,,,,,,,,,,,,,,,,,,,
텐센트,18.02 (0%),,9.08 (0%),,,,,,,,,,,,,,,,,,,11.51 (0%),,,,,,,12.32 (0%),,,,,,,,,,,,,,,,,,15.71 (0%),,,,,,,,,,,,,,,,,,,,,,10.15 (0%),,,,,,11.42 (0%),,,,8.90 (0%),,,,,,,,
폭스바겐,75.55 (0%),,74.71 (1%),,88.99 (2%),,,,,,,,,,66.12 (1%),,,,,,59.35 (1%),,,,,,,66.69 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.74 (2%),,,,,,,,,,,,,,,,,,104.81 (1%),,,,,,,,,
퓨리오사AI,2.77 (0%),,2.09 (0%),,,,2.21 (0%),,,,,,,,2.11 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19 (0%),,2.24 (0%),,,,,,,,,,,,,,,,,,,,,3.52 (0%),,,,,,,,,,,2.11 (0%),,,,,,,,,
하이센스,305.68 (2%),209.39 (5%),,,,,,,,,,,,,,,,,,,,,,,,,,,268.94 (2%),,,,,,,,,,,,,,,,,,256.32 (2%),,,,,,,,,,,,,,,,,,,,,,352.30 (4%),,,,,,,361.00 (4%),188.47 (2%),,,,,,,,251.25 (5%),,
하이얼,67.93 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,55.82 (0%),,,,,,,,,,,,,,,,,,64.26 (1%),,,,,,,,,,,,,,,,,,,,,,78.29 (1%),,,,,,41.41 (1%),65.24 (1%),,,,,,,,,51.82 (1%),54.98 (1%),
한미반도체,55.45 (0%),,95.66 (1%),,,,66.99 (1%),,39.14 (1%),,,,,,49.24 (1%),,,,,,63.54 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.53 (1%),,,,,,,,,,,76.67 (1%),,,,,,,,,
한화,232.90 (1%),,122.19 (1%),,,,,,,,,,,,,,,,,,110.32 (1%),,,,,,,,145.70 (1%),,,,,,211.14 (14%),,,,,,,,,,,,138.51 (1%),174.56 (3%),,,,,,,,,,,,,,,,145.33 (5%),,,,,,,,,,,,,,,,,,,,,,,
한화솔루션,29.82 (0%),,38.97 (0%),,,,,,,,,,,,26.99 (0%),,,,,,31.66 (0%),,,,,,,,27.82 (0%),,,,,,,,,,,,,,,,,,30.72 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,25.74 (0%),,,45.80 (1%),,,,,,,,,
한화시스템,75.55 (0%),,84.49 (1%),,,,,,,,,100.00 (2%),,,56.98 (1%),,,,,,53.76 (1%),,,,,,,,,,,,,,,,,,,66.11 (3%),,,,,,,,,,,,,,,,,,,,,,,,,,,54.87 (1%),,,,,,,,,,,83.71 (1%),,,,,,,,,
현대모비스,105.36 (1%),,172.46 (1%),,100.21 (2%),,,,,,,,,,119.58 (2%),,,,,,124.29 (1%),,,,,,,,,,,,,,,,,,,,,,,152.67 (4%),,,,,,,,,,,,,,,,,,,,,,,,,,,88.23 (5%),,,,,,,185.70 (2%),,,,,,,,,
현대자동차,137.94 (1%),,136.16 (1%),,,,,,,,,117.98 (2%),,,111.14 (2%),,,,,,111.72 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,95.67 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,97.82 (1%),,,161.08 (2%),,,,,,,,,
현대차,389.79 (2%),,415.14 (3%),,,,,,,,,,,,423.06 (5%),,,,,,289.87 (3%),,,,,,,,243.42 (2%),,,,,,,,,,,,,,,,,,261.10 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,253.71 (3%),,,416.59 (5%),,,,,,,,,
화웨이,206.07 (1%),,99.21 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,141.03 (1%),,,,115.21 (3%),,,,,,,,,,,,,,130.32 (1%),,,,,,,,,,,,,,110.91 (3%),,,,,,,,,,,111.96 (3%),,,,,,,,,,,106.58 (4%),,,,
