org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,259.33 (1%),142.39 (1%),,91.50 (2%),234.98 (2%),28.50 (1%),19.05 (1%),,21.12 (2%),21.94 (1%),
ASUS,68.79 (0%),61.22 (0%),,11.87 (0%),44.36 (0%),5.39 (0%),10.26 (0%),,11.37 (1%),,2.60 (0%)
AUO,54.34 (0%),46.09 (0%),,7.68 (0%),22.87 (0%),3.85 (0%),12.45 (0%),,,2.44 (0%),0.87 (0%)
Acer,59.16 (0%),48.15 (0%),,9.78 (0%),42.28 (0%),3.08 (0%),10.99 (0%),,9.75 (1%),,2.60 (0%)
BMW,88.74 (0%),57.09 (0%),,19.56 (0%),82.48 (1%),90.13 (3%),11.72 (0%),,11.37 (1%),17.06 (1%),
BOE,826.13 (4%),678.93 (5%),,104.78 (2%),346.57 (3%),55.46 (2%),143.59 (5%),,17.06 (2%),25.18 (2%),
BYD,116.94 (1%),86.67 (1%),,22.35 (0%),90.11 (1%),75.49 (2%),16.85 (1%),,9.75 (1%),22.75 (1%),
Bosch,1.38 (0%),2.06 (0%),,0.70 (0%),0.69 (0%),,,,,,
CES,251.07 (1%),215.99 (1%),,53.09 (1%),135.16 (1%),30.81 (1%),43.96 (2%),,29.25 (3%),25.18 (2%),
CSOT,473.94 (2%),418.91 (3%),,51.69 (1%),172.59 (1%),30.81 (1%),86.45 (3%),,9.75 (1%),12.19 (1%),
Corning,6.19 (0%),4.82 (0%),,1.40 (0%),3.47 (0%),,1.47 (0%),,,,
Counterpoint,6.19 (0%),5.50 (0%),,4.89 (0%),4.16 (0%),1.54 (0%),,,,0.81 (0%),0.87 (0%)
DELL,1.38 (0%),0.69 (0%),,0.70 (0%),1.39 (0%),,,,,0.81 (0%),
DSCC,4.13 (0%),4.82 (0%),,0.70 (0%),2.77 (0%),,0.73 (0%),,,,
Dell,69.47 (0%),57.09 (0%),,16.07 (0%),48.52 (0%),6.16 (0%),10.99 (0%),,9.75 (1%),,2.60 (0%)
ETRI,40.58 (0%),27.51 (0%),0.93 (0%),,16.64 (0%),3.08 (0%),24.18 (1%),,1.62 (0%),1.62 (0%),
HMI,8.94 (0%),4.82 (0%),,1.40 (0%),8.32 (0%),,1.47 (0%),,,0.81 (0%),0.87 (0%)
HP,135.51 (1%),118.31 (1%),,24.45 (0%),80.41 (1%),3.85 (0%),26.37 (1%),,16.25 (2%),,3.47 (1%)
Harman,26.83 (0%),19.95 (0%),4.66 (0%),11.18 (0%),27.73 (0%),6.93 (0%),8.79 (0%),,,3.25 (0%),
IEC,39.21 (0%),36.46 (0%),,16.76 (0%),25.65 (0%),,5.86 (0%),,17.06 (2%),4.87 (0%),9.55 (2%)
IEEE,6.19 (0%),4.82 (0%),,2.10 (0%),5.55 (0%),0.77 (0%),,,0.81 (0%),1.62 (0%),1.74 (0%)
IMID,55.03 (0%),48.15 (0%),,6.99 (0%),15.25 (0%),1.54 (0%),38.83 (1%),,1.62 (0%),,0.87 (0%)
ITU,52.28 (0%),54.34 (0%),,17.46 (0%),18.71 (0%),1.54 (0%),8.79 (0%),1.13 (0%),,,1.74 (0%)
Innolux,41.27 (0%),30.27 (0%),,4.19 (0%),22.18 (0%),9.24 (0%),9.52 (0%),,1.62 (0%),2.44 (0%),
IoT,270.33 (1%),225.62 (1%),,105.47 (2%),244.68 (2%),42.37 (1%),32.23 (1%),,40.62 (4%),76.37 (5%),
JDI,41.27 (0%),36.46 (0%),,10.48 (0%),20.79 (0%),0.77 (0%),8.79 (0%),,1.62 (0%),,0.87 (0%)
KAIST,54.34 (0%),41.96 (0%),,15.37 (0%),40.90 (0%),11.56 (0%),21.98 (1%),,5.69 (1%),11.37 (1%),
LG디스플레이,1355.10 (7%),1133.61 (8%),,180.22 (3%),583.63 (5%),124.79 (4%),265.20 (10%),,64.18 (6%),33.31 (2%),
LG전자,1293.20 (7%),1247.11 (8%),158.53 (17%),430.98 (7%),883.76 (7%),194.90 (6%),129.67 (5%),,,129.17 (8%),
LG화학,224.93 (1%),153.40 (1%),,48.90 (1%),229.43 (2%),55.46 (2%),27.11 (1%),38.35 (6%),,17.06 (1%),
MOTIE,0.69 (0%),0.69 (0%),,0.70 (0%),0.69 (0%),,,,,,
MWC,13.76 (0%),10.32 (0%),,7.68 (0%),8.32 (0%),,0.73 (0%),,,5.69 (0%),0.87 (0%)
Merck,3.44 (0%),3.44 (0%),,,,,3.66 (0%),,0.81 (0%),,0.87 (0%)
