org,topic,base_score,topic_share,company_focus,hybrid_score
Counterpoint,3,4.1589,0.0003,0.3902,4.1589
Counterpoint,4,1.5407,0.0005,0.1446,1.5407
Counterpoint,9,0.8681,0.0014,0.0814,0.8681
Counterpoint,8,0.8124,0.0005,0.0762,0.8124
DELL,3,1.3863,0.0001,0.5946,1.3863
DELL,0,1.3757,0.0001,0.5901,1.3757
DELL,8,0.8124,0.0005,0.3485,0.8124
DELL,2,0.6985,0.0001,0.2996,0.6985
DELL,1,0.6879,0.0000,0.2950,0.6879
DSCC,1,4.8151,0.0003,0.6884,4.8151
DSCC,0,4.1272,0.0002,0.5900,4.1272
DSCC,3,2.7726,0.0002,0.3964,2.7726
DSCC,5,0.7326,0.0003,0.1047,0.7326
DSCC,2,0.6985,0.0001,0.0999,0.6985
Dell,0,69.4749,0.0036,0.6634,69.4749
Dell,1,57.0932,0.0038,0.5452,57.0932
Dell,3,48.5203,0.0040,0.4633,48.5203
Dell,2,16.0657,0.0028,0.1534,16.0657
Dell,5,10.9888,0.0040,0.1049,10.9888
Dell,7,9.7489,0.0093,0.0931,9.7489
Dell,4,6.1627,0.0020,0.0588,6.1627
Dell,9,2.6043,0.0042,0.0249,2.6043
Dell,8,2.4372,0.0015,0.0233,2.4372
Dell,10,0.9326,0.0010,0.0089,0.9326
ETRI,0,40.5843,0.0021,0.7084,40.5843
ETRI,1,27.5148,0.0018,0.4803,27.5148
ETRI,5,24.1754,0.0088,0.4220,24.1754
ETRI,3,16.6355,0.0014,0.2904,16.6355
ETRI,4,3.0813,0.0010,0.0538,3.0813
ETRI,7,1.6248,0.0015,0.0284,1.6248
ETRI,8,1.6248,0.0010,0.0284,1.6248
ETRI,10,0.9326,0.0010,0.0163,0.9326
ETRI,9,0.8681,0.0014,0.0152,0.8681
ETRI,2,0.6985,0.0001,0.0122,0.6985
HMI,0,8.9423,0.0005,0.6705,8.9423
HMI,3,8.3178,0.0007,0.6237,8.3178
HMI,1,4.8151,0.0003,0.3611,4.8151
HMI,5,1.4652,0.0005,0.1099,1.4652
HMI,2,1.3970,0.0002,0.1048,1.3970
HMI,9,0.8681,0.0014,0.0651,0.8681
HMI,8,0.8124,0.0005,0.0609,0.8124
HP,0,135.5104,0.0071,0.6740,135.5104
HP,1,118.3137,0.0079,0.5884,118.3137
HP,3,80.4051,0.0066,0.3999,80.4051
HP,5,26.3732,0.0096,0.1312,26.3732
HP,2,24.4478,0.0042,0.1216,24.4478
HP,7,16.2482,0.0154,0.0808,16.2482
HP,4,3.8517,0.0013,0.0192,3.8517
HP,9,3.4724,0.0056,0.0173,3.4724
HP,8,3.2496,0.0021,0.0162,3.2496
HP,10,1.8651,0.0020,0.0093,1.8651
HP,6,1.1278,0.0018,0.0056,1.1278
Harman,3,27.7259,0.0023,0.5950,27.7259
Harman,0,26.8269,0.0014,0.5757,26.8269
Harman,1,19.9482,0.0013,0.4281,19.9482
Harman,2,11.1761,0.0019,0.2398,11.1761
Harman,5,8.7911,0.0032,0.1887,8.7911
Harman,4,6.9330,0.0023,0.1488,6.9330
Harman,10,4.6628,0.0049,0.1001,4.6628
Harman,8,3.2496,0.0021,0.0697,3.2496
Harman,7,1.6248,0.0015,0.0349,1.6248
IEC,0,39.2086,0.0020,0.6007,39.2086
IEC,1,36.4571,0.0024,0.5586,36.4571
IEC,3,25.6464,0.0021,0.3929,25.6464
IEC,7,17.0606,0.0162,0.2614,17.0606
IEC,2,16.7642,0.0029,0.2568,16.7642
IEC,9,9.5490,0.0155,0.1463,9.5490
IEC,5,5.8607,0.0021,0.0898,5.8607
IEC,8,4.8745,0.0031,0.0747,4.8745
IEC,10,2.7977,0.0029,0.0429,2.7977
IEC,4,2.3110,0.0008,0.0354,2.3110
IEC,6,1.1278,0.0018,0.0173,1.1278
IEEE,0,6.1908,0.0003,0.6084,6.1908
IEEE,3,5.5452,0.0005,0.5449,5.5452
IEEE,1,4.8151,0.0003,0.4732,4.8151
IEEE,2,2.0955,0.0004,0.2059,2.0955
IEEE,9,1.7362,0.0028,0.1706,1.7362
IEEE,8,1.6248,0.0010,0.1597,1.6248
IEEE,7,0.8124,0.0008,0.0798,0.8124
IEEE,4,0.7703,0.0003,0.0757,0.7703
IMID,0,55.0296,0.0029,0.6512,55.0296
IMID,1,48.1509,0.0032,0.5698,48.1509
IMID,5,38.8272,0.0141,0.4595,38.8272
IMID,3,15.2492,0.0012,0.1804,15.2492
IMID,2,6.9851,0.0012,0.0827,6.9851
IMID,7,1.6248,0.0015,0.0192,1.6248
IMID,4,1.5407,0.0005,0.0182,1.5407
IMID,9,0.8681,0.0014,0.0103,0.8681
ITU,1,54.3417,0.0036,0.6779,54.3417
ITU,0,52.2781,0.0027,0.6522,52.2781
ITU,3,18.7150,0.0015,0.2335,18.7150
ITU,2,17.4627,0.0030,0.2178,17.4627
ITU,5,8.7911,0.0032,0.1097,8.7911
ITU,9,1.7362,0.0028,0.0217,1.7362
ITU,4,1.5407,0.0005,0.0192,1.5407
ITU,6,1.1278,0.0018,0.0141,1.1278
ITU,7,0.8124,0.0008,0.0101,0.8124
Innolux,0,41.2722,0.0021,0.7168,41.2722
Innolux,1,30.2663,0.0020,0.5256,30.2663
Innolux,3,22.1807,0.0018,0.3852,22.1807
Innolux,5,9.5237,0.0035,0.1654,9.5237
Innolux,4,9.2440,0.0030,0.1605,9.2440
Innolux,2,4.1911,0.0007,0.0728,4.1911
Innolux,8,2.4372,0.0015,0.0423,2.4372
Innolux,7,1.6248,0.0015,0.0282,1.6248
Innolux,10,0.9326,0.0010,0.0162,0.9326
Innolux,9,0.8681,0.0014,0.0151,0.8681
IoT,0,270.3330,0.0141,0.5958,270.3330
IoT,3,244.6810,0.0200,0.5393,244.6810
IoT,1,225.6214,0.0150,0.4973,225.6214
IoT,2,105.4749,0.0181,0.2325,105.4749
IoT,8,76.3666,0.0484,0.1683,76.3666
IoT,4,42.3685,0.0138,0.0934,42.3685
IoT,7,40.6205,0.0386,0.0895,40.6205
IoT,5,32.2339,0.0117,0.0710,32.2339
IoT,10,17.7185,0.0186,0.0391,17.7185
IoT,9,15.6256,0.0253,0.0344,15.6256
IoT,6,4.5112,0.0071,0.0099,4.5112
JDI,0,41.2722,0.0021,0.6826,41.2722
JDI,1,36.4571,0.0024,0.6029,36.4571
JDI,3,20.7944,0.0017,0.3439,20.7944
JDI,2,10.4776,0.0018,0.1733,10.4776
JDI,5,8.7911,0.0032,0.1454,8.7911
JDI,7,1.6248,0.0015,0.0269,1.6248
JDI,9,0.8681,0.0014,0.0144,0.8681
JDI,4,0.7703,0.0003,0.0127,0.7703
KAIST,0,54.3417,0.0028,0.6295,54.3417
KAIST,1,41.9601,0.0028,0.4861,41.9601
KAIST,3,40.8957,0.0033,0.4737,40.8957
KAIST,5,21.9777,0.0080,0.2546,21.9777
KAIST,2,15.3672,0.0026,0.1780,15.3672
KAIST,4,11.5551,0.0038,0.1339,11.5551
KAIST,8,11.3737,0.0072,0.1318,11.3737
KAIST,7,5.6869,0.0054,0.0659,5.6869
KAIST,10,4.6628,0.0049,0.0540,4.6628
KAIST,9,4.3404,0.0070,0.0503,4.3404
KAIST,6,3.3834,0.0054,0.0392,3.3834
LG디스플레이,0,1355.1041,0.0706,0.7155,1355.1041
LG디스플레이,1,1133.6100,0.0752,0.5986,1133.6100
LG디스플레이,3,583.6299,0.0476,0.3082,583.6299
LG디스플레이,5,265.1972,0.0963,0.1400,265.1972
LG디스플레이,2,180.2154,0.0310,0.0952,180.2154
LG디스플레이,4,124.7946,0.0408,0.0659,124.7946
LG디스플레이,7,64.1804,0.0610,0.0339,64.1804
LG디스플레이,8,33.3088,0.0211,0.0176,33.3088
LG디스플레이,10,23.3138,0.0244,0.0123,23.3138
LG디스플레이,6,19.1728,0.0304,0.0101,19.1728
LG디스플레이,9,16.4937,0.0267,0.0087,16.4937
LG전자,0,1293.1958,0.0673,0.6237,1293.1958
LG전자,1,1247.1085,0.0828,0.6015,1247.1085
LG전자,3,883.7627,0.0721,0.4262,883.7627
LG전자,2,430.9801,0.0741,0.2079,430.9801
LG전자,4,194.8952,0.0637,0.0940,194.8952
LG전자,10,158.5337,0.1660,0.0765,158.5337
LG전자,5,129.6682,0.0471,0.0625,129.6682
LG전자,8,129.1733,0.0818,0.0623,129.1733
LG전자,7,69.0549,0.0656,0.0333,69.0549
LG전자,9,47.7449,0.0774,0.0230,47.7449
LG전자,6,28.1953,0.0446,0.0136,28.1953
LG화학,3,229.4317,0.0187,0.6248,229.4317
LG화학,0,224.9335,0.0117,0.6125,224.9335
LG화학,1,153.3950,0.0102,0.4177,153.3950
LG화학,4,55.4643,0.0181,0.1510,55.4643
LG화학,2,48.8956,0.0084,0.1331,48.8956
LG화학,6,38.3456,0.0607,0.1044,38.3456
LG화학,5,27.1058,0.0098,0.0738,27.1058
LG화학,8,17.0606,0.0108,0.0465,17.0606
LG화학,7,9.7489,0.0093,0.0265,9.7489
LG화학,10,5.5953,0.0059,0.0152,5.5953
LG화학,9,1.7362,0.0028,0.0047,1.7362
MOTIE,2,0.6985,0.0001,0.5048,0.6985
MOTIE,3,0.6931,0.0001,0.5009,0.6931
MOTIE,0,0.6879,0.0000,0.4971,0.6879
MOTIE,1,0.6879,0.0000,0.4971,0.6879
MWC,0,13.7574,0.0007,0.6431,13.7574
MWC,1,10.3181,0.0007,0.4824,10.3181
MWC,3,8.3178,0.0007,0.3888,8.3178
MWC,2,7.6836,0.0013,0.3592,7.6836
MWC,8,5.6869,0.0036,0.2659,5.6869
MWC,9,0.8681,0.0014,0.0406,0.8681
MWC,5,0.7326,0.0003,0.0342,0.7326
Merck,5,3.6629,0.0013,0.5904,3.6629
Merck,0,3.4394,0.0002,0.5544,3.4394
Merck,1,3.4394,0.0002,0.5544,3.4394
Merck,9,0.8681,0.0014,0.1399,0.8681
Merck,7,0.8124,0.0008,0.1310,0.8124
SEMI,0,2.7515,0.0001,0.7282,2.7515
SEMI,3,2.0794,0.0002,0.5504,2.0794
SEMI,1,1.3757,0.0001,0.3641,1.3757
SEMI,2,0.6985,0.0001,0.1849,0.6985
SID,0,132.7589,0.0069,0.7447,132.7589
SID,1,102.4926,0.0068,0.5749,102.4926
SID,5,43.2227,0.0157,0.2425,43.2227
SID,3,36.0437,0.0029,0.2022,36.0437
SID,7,21.9351,0.0208,0.1230,21.9351
SID,2,1.3970,0.0002,0.0078,1.3970
SID,10,0.9326,0.0010,0.0052,0.9326
SK하이닉스,0,517.2783,0.0269,0.6503,517.2783
SK하이닉스,3,479.6578,0.0391,0.6030,479.6578
SK하이닉스,1,317.7960,0.0211,0.3995,317.7960
SK하이닉스,2,149.4810,0.0257,0.1879,149.4810
SK하이닉스,4,64.7083,0.0211,0.0814,64.7083
SK하이닉스,5,54.9442,0.0199,0.0691,54.9442
SK하이닉스,6,48.4959,0.0768,0.0610,48.4959
SK하이닉스,8,37.3709,0.0237,0.0470,37.3709
SK하이닉스,7,21.9351,0.0208,0.0276,21.9351
SK하이닉스,10,13.9883,0.0146,0.0176,13.9883
SK하이닉스,9,5.2085,0.0084,0.0065,5.2085
Semiconductor,0,40.5843,0.0021,0.6767,40.5843
Semiconductor,3,30.4985,0.0025,0.5085,30.4985
Semiconductor,1,26.8269,0.0018,0.4473,26.8269
Semiconductor,5,12.4540,0.0045,0.2077,12.4540
Semiconductor,2,9.0806,0.0016,0.1514,9.0806
Semiconductor,4,6.1627,0.0020,0.1028,6.1627
Semiconductor,7,4.8745,0.0046,0.0813,4.8745
Semiconductor,8,0.8124,0.0005,0.0135,0.8124
TCL,0,566.1171,0.0295,0.6961,566.1171
TCL,1,507.6482,0.0337,0.6242,507.6482
TCL,3,256.4645,0.0209,0.3154,256.4645
TCL,2,105.4749,0.0181,0.1297,105.4749
TCL,5,53.4790,0.0194,0.0658,53.4790
TCL,4,40.8279,0.0133,0.0502,40.8279
TCL,7,26.8095,0.0255,0.0330,26.8095
TCL,8,25.9971,0.0165,0.0320,25.9971
TCL,9,15.6256,0.0253,0.0192,15.6256
TCL,10,7.4604,0.0078,0.0092,7.4604
TCL,6,3.3834,0.0054,0.0042,3.3834
TSMC,0,134.8225,0.0070,0.6475,134.8225
TSMC,3,131.6980,0.0107,0.6325,131.6980
TSMC,1,73.6021,0.0049,0.3535,73.6021
TSMC,2,39.8150,0.0068,0.1912,39.8150
TSMC,4,23.1101,0.0076,0.1110,23.1101
TSMC,8,11.3737,0.0072,0.0546,11.3737
TSMC,5,10.2562,0.0037,0.0493,10.2562
TSMC,7,5.6869,0.0054,0.0273,5.6869
TSMC,9,4.3404,0.0070,0.0208,4.3404
TSMC,6,3.3834,0.0054,0.0162,3.3834
Tianma,0,65.3477,0.0034,0.7454,65.3477
Tianma,1,51.5903,0.0034,0.5885,51.5903
Tianma,3,24.2602,0.0020,0.2767,24.2602
Tianma,5,9.5237,0.0035,0.1086,9.5237
Tianma,4,6.9330,0.0023,0.0791,6.9330
Tianma,2,4.8896,0.0008,0.0558,4.8896
Tianma,9,0.8681,0.0014,0.0099,0.8681
Tianma,7,0.8124,0.0008,0.0093,0.8124
Tianma,8,0.8124,0.0005,0.0093,0.8124
Toray,0,9.6302,0.0005,0.6784,9.6302
Toray,3,6.9315,0.0006,0.4883,6.9315
Toray,1,6.1908,0.0004,0.4361,6.1908
Toray,4,3.0813,0.0010,0.2171,3.0813
Toray,2,2.7940,0.0005,0.1968,2.7940
Toray,7,1.6248,0.0015,0.1145,1.6248
Toray,6,1.1278,0.0018,0.0794,1.1278
Toray,8,0.8124,0.0005,0.0572,0.8124
Toray,5,0.7326,0.0003,0.0516,0.7326
UDC,0,22.0118,0.0011,0.7384,22.0118
UDC,1,17.1968,0.0011,0.5768,17.1968
UDC,3,8.3178,0.0007,0.2790,8.3178
UDC,5,5.8607,0.0021,0.1966,5.8607
UDC,2,2.0955,0.0004,0.0703,2.0955
UDC,4,0.7703,0.0003,0.0258,0.7703
UL,0,76.3536,0.0040,0.6592,76.3536
UL,1,71.5385,0.0047,0.6177,71.5385
UL,3,40.8957,0.0033,0.3531,40.8957
UL,2,22.3523,0.0038,0.1930,22.3523
UL,5,13.1866,0.0048,0.1139,13.1866
UL,4,8.4737,0.0028,0.0732,8.4737
UL,8,6.4993,0.0041,0.0561,6.4993
UL,9,1.7362,0.0028,0.0150,1.7362
UL,7,1.6248,0.0015,0.0140,1.6248
UL,6,1.1278,0.0018,0.0097,1.1278
V2X,0,81.1687,0.0042,0.6797,81.1687
V2X,3,66.5421,0.0054,0.5572,66.5421
V2X,1,52.9660,0.0035,0.4435,52.9660
V2X,2,16.0657,0.0028,0.1345,16.0657
V2X,5,10.9888,0.0040,0.0920,10.9888
V2X,8,6.4993,0.0041,0.0544,6.4993
V2X,4,3.8517,0.0013,0.0323,3.8517
V2X,6,1.1278,0.0018,0.0094,1.1278
V2X,9,0.8681,0.0014,0.0073,0.8681
V2X,7,0.8124,0.0008,0.0068,0.8124
Visionox,0,85.2959,0.0044,0.7255,85.2959
Visionox,1,71.5385,0.0047,0.6085,71.5385
Visionox,3,32.5779,0.0027,0.2771,32.5779
Visionox,5,16.1170,0.0059,0.1371,16.1170
Visionox,2,9.7791,0.0017,0.0832,9.7791
Visionox,4,3.0813,0.0010,0.0262,3.0813
Visionox,7,1.6248,0.0015,0.0138,1.6248
Visionox,10,0.9326,0.0010,0.0079,0.9326
Visionox,9,0.8681,0.0014,0.0074,0.8681
구글,0,478.7576,0.0249,0.6327,478.7576
구글,3,375.6858,0.0307,0.4965,375.6858
구글,1,339.8078,0.0225,0.4491,339.8078
구글,2,240.2871,0.0413,0.3175,240.2871
구글,10,108.1759,0.1133,0.1430,108.1759
구글,8,78.8038,0.0499,0.1041,78.8038
구글,4,69.3303,0.0227,0.0916,69.3303
구글,5,54.2116,0.0197,0.0716,54.2116
구글,9,46.0087,0.0745,0.0608,46.0087
구글,7,33.3088,0.0316,0.0440,33.3088
구글,6,13.5337,0.0214,0.0179,13.5337
기아,3,201.7058,0.0165,0.5617,201.7058
기아,0,196.0430,0.0102,0.5459,196.0430
기아,4,163.3114,0.0534,0.4548,163.3114
기아,1,135.5104,0.0090,0.3774,135.5104
기아,2,48.1971,0.0083,0.1342,48.1971
기아,5,36.6294,0.0133,0.1020,36.6294
기아,8,22.7475,0.0144,0.0633,22.7475
기아,7,17.8730,0.0170,0.0498,17.8730
기아,9,13.0213,0.0211,0.0363,13.0213
기아,6,9.0225,0.0143,0.0251,9.0225
기아,10,6.5279,0.0068,0.0182,6.5279
기아자동차,3,23.5670,0.0019,0.6100,23.5670
기아자동차,0,21.3240,0.0011,0.5519,21.3240
기아자동차,1,15.1331,0.0010,0.3917,15.1331
기아자동차,4,14.6364,0.0048,0.3788,14.6364
기아자동차,2,4.8896,0.0008,0.1266,4.8896
기아자동차,5,2.9304,0.0011,0.0758,2.9304
기아자동차,7,1.6248,0.0015,0.0421,1.6248
기아자동차,8,1.6248,0.0010,0.0421,1.6248
기아자동차,10,0.9326,0.0010,0.0241,0.9326
기아자동차,9,0.8681,0.0014,0.0225,0.8681
기아차,4,3.0813,0.0010,0.5874,3.0813
기아차,3,2.7726,0.0002,0.5286,2.7726
기아차,0,2.7515,0.0001,0.5245,2.7515
기아차,1,1.3757,0.0001,0.2623,1.3757
기아차,10,0.9326,0.0010,0.1778,0.9326
네이버,0,285.4661,0.0149,0.6234,285.4661
네이버,3,219.7277,0.0179,0.4798,219.7277
네이버,1,215.9912,0.0143,0.4717,215.9912
네이버,2,138.3048,0.0238,0.3020,138.3048
네이버,4,82.4260,0.0269,0.1800,82.4260
네이버,10,61.5484,0.0645,0.1344,61.5484
네이버,8,41.4329,0.0262,0.0905,41.4329
네이버,5,35.1643,0.0128,0.0768,35.1643
